"BIRD","Dominance","Sex","Season","Season.plus","Cohort","Group","Start.AgeCl","Bird.age","Mean.Age","Delta.Age","Plate","Position","RTL"
"48","DOM","F","2011-12","2011-12_1","2007-08","DI","N",1327,1339,-12,"J2",3,1.329759363
"48","DOM","F","2011-12","2011-12_2","2007-08","DI","N",1544,1339,205,"J2",7,1.234652457
"50","DOM","F","2011-12","2011-12_1","2007-08","VU","F",1320,1902,-582,"E2",24,0.756931958
"50","DOM","F","2011-12","2011-12_2","2007-08","VU","F",1548,1902,-354,"E2",7,0.733622256
"50","DOM","F","2012-13","2012-13_2","2007-08","RO","F",1902,1902,0,"N2",15,0.75594691
"50","DOM","F","2013-14","2013-14_1","2007-08","RO","F",2121,1902,219,"N2",17,0.638354292
"50","DOM","F","2014-15","2014-15_2","2007-08","RO","F",2619,1902,717,"I2",17,1.773690587
"51","DOM","M","2012-13","2012-13_1","2007-08","XM","F",1683,2153.16666666667,-470.166666666667,"I2",6,1.03258542
"51","DOM","M","2012-13","2012-13_2","2007-08","XM","F",1881,2153.16666666667,-272.166666666667,"I2",11,1.147497253
"51","DOM","M","2013-14","2013-14_1","2007-08","XM","F",2072,2153.16666666667,-81.1666666666665,"I2",9,1.047130281
"51","DOM","M","2013-14","2013-14_2","2007-08","XM","F",2248,2153.16666666667,94.8333333333335,"I2",14,1.195087276
"51","DOM","M","2014-15","2014-15_1","2007-08","XM","F",2417,2153.16666666667,263.833333333333,"I2",24,1.280943643
"51","DOM","M","2014-15","2014-15_2","2007-08","XM","F",2618,2153.16666666667,464.833333333333,"I2",21,0.994832784
"52","DOM","F","2011-12","2011-12_1","2007-08","QU","N",1302,2058.8,-756.8,"B2",4,0.959573818
"52","DOM","F","2012-13","2012-13_2","2007-08","QU","N",1868,2058.8,-190.8,"B2",13,0.818610466
"52","DOM","F","2013-14","2013-14_1","2007-08","QU","N",2097,2058.8,38.1999999999998,"B2",12,1.009841992
"52","DOM","F","2014-15","2014-15_1","2007-08","QU","N",2412,2058.8,353.2,"C2",23,0.703048062
"52","DOM","F","2014-15","2014-15_2","2007-08","QU","N",2615,2058.8,556.2,"C2",17,0.973439403
"53","DOM","F","2011-12","2011-12_2","2008-09","DA","N",1274,1462.33333333333,-188.333333333333,"B2",7,0.940671981
"53","DOM","F","2012-13","2012-13_1","2008-09","DA","N",1486,1462.33333333333,23.6666666666667,"B2",11,0.828976744
"53","DOM","F","2012-13","2012-13_2","2008-09","DA","N",1627,1462.33333333333,164.666666666667,"B2",14,0.904803848
"55","DOM","M","2012-13","2012-13_2","2008-09","LE","N",1623,1979.5,-356.5,"F2",18,0.72260304
"55","DOM","M","2013-14","2013-14_1","2008-09","LE","N",1832,1979.5,-147.5,"F2",15,0.738379881
"55","DOM","M","2014-15","2014-15_1","2008-09","LE","N",2155,1979.5,175.5,"K2",18,0.820649306
"55","DOM","M","2014-15","2014-15_2","2008-09","LE","N",2308,1979.5,328.5,"K2",25,0.924542823
"55","SUB","M","2011-12","2011-12_1","2008-09","DI","N",1038,1146.5,-108.5,"F2",3,0.678376333
"55","SUB","M","2011-12","2011-12_2","2008-09","DI","N",1255,1146.5,108.5,"F2",7,0.599916195
"56","SUB","F","2011-12","2011-12_1","2008-09","ZE","N",1042,1259,-217,"J2",4,0.804281426
"56","SUB","F","2011-12","2011-12_2","2008-09","ZE","N",1258,1259,-1,"J2",9,0.688577413
"56","SUB","F","2012-13","2012-13_1","2008-09","ZE","N",1477,1259,218,"J2",12,0.687342737
